Zone,Div,Area,Location,Street,latitude,longitude
4,34, KODUNGAIYUR,JUMBULI VILLAGE,RIZWAN STREET (MILK COLONY ROAD),13.14219511,80.24076904
4,35, KODUNGAIYUR,MOOLAKADAI,TONDIARPET HIGH ROAD,13.13638355,80.25710065
4,35, KODUNGAIYUR,V.V.NAGAR,SIDCO MAIN ROAD,13.13159209,80.25315247
4,35, KODUNGAIYUR,V.V.NAGAR,SIDCO MAIN ROAD,13.13159203,80.25319359
4,35, KODUNGAIYUR,MUTHAMIL NAGAR,MUTHAMIL NAGAR VIII BLOCK 210TH STREET,13.13119866,80.25070284
4,36, VYASARPADI,M.K.B. NAGAR,PUDU NAGAR VII STREET,13.12316557,80.25649647
4,36, VYASARPADI,SHARMA NAGAR,ERUKENCHERY HIGH ROAD,13.1206062,80.25461238
4,36, ERUKKENCHERRY,ERUKKENCHERRY,PAPATHI AMMAL KOIL STREET,13.12456051,80.24901072
4,36, ERUKKENCHERRY,SULPUNAL KARAI,DR. AMBEDKAR STREET (SUZPUNAL KARAI),13.12485234,80.24996388
4,36, ERUKKENCHERRY,SULPUNAL KARAI,DR. AMBEDKAR STREET (SUZPUNAL KARAI),13.12486975,80.25007269
4,36, VYASARPADI,S.A. COLONY,S.A. COLONY VII  STREET,13.12394775,80.25086006
4,36, VYASARPADI,SHARMA NAGAR,SASTRI NAGAR QUIDE MILLAT ROAD,13.11921946,80.25374681
4,36, VYASARPADI,INDIRA GANDHI NAGAR,INDIRA GHANDHI NAGAR 1ST STREET,13.12231175,80.24942715
4,37, VYASARPADI,M.K.B. NAGAR,GOODSHED ROAD,13.12386686,80.26787053
4,37, KODUNGAIYUR,RAJARATHINAM NAGAR,RAJARATHINAM NAGAR 4TH MAIN ROAD,13.1277523,80.26711333
4,37, VYASARPADI,M.K.B. NAGAR,NORTH AVENUE ROAD,13.12667788,80.2624275
4,37, VYASARPADI,M.K.B. NAGAR,EAST AVENUE ROAD,13.12341686,80.26569437
4,38, TONDIARPET,BPC LIMTED,VAIDYANATHAN STREET,13.12852242,80.28181088
4,38, TONDIARPET,BPC LIMTED,VAIDYANATHAN STREET,13.12852141,80.28182863
4,38, TONDIARPET,BPC LIMTED,VAIDYANATHAN STREET,13.12851567,80.28186014
4,38, TONDIARPET,BPC LIMTED,VAIDYANATHAN STREET,13.12851325,80.2818767
4,39, NEW WASHERMEN PET,NEW WASHERMEN PET,ARUNACHALA EASWARAR KOIL STREET,13.13877162,80.29373084
4,39, NEW WASHERMEN PET,CHERIAN NAGAR,SURYA NARAYANA (C) STREET,13.13398987,80.2969162
4,40, TONDIARPET,BPC LIMTED,ILLAYA ST,13.1303323,80.28543468
4,40, TONDIARPET,JEEVA NAGAR,THIRUVETRIYUR HIGH ROAD,13.13431849,80.2926157
4,40, TONDIARPET,JEEVA NAGAR,THIRUVETRIYUR HIGH ROAD,13.13870464,80.29364425
4,40, TONDIARPET,JEEVA NAGAR,A.A.SCHEME ROAD,13.13358517,80.28958194
4,40, TONDIARPET,JEEVA NAGAR,JEEVA NAGAR MAIN ROAD,13.13880325,80.29107639
4,41, KORUKKUPET,ANNA NAGAR,PERIYAR SALAI,13.12143002,80.27469845
4,41, KORUKKUPET,J.J.NAGAR,KAMARAJAR NAGAR ROAD,13.11900424,80.27437896
4,41, KORUKKUPET,KAMARAJ NAGAR,KAMARAJAR NAGAR ROAD,13.11902737,80.27326555
4,42, TONDIARPET,TONDIARPET,KAILASAM STREET (ALIAS) ELLAYA 2ND LANE,13.12655498,80.28600782
4,42, OLD WASHERMENPET,KORUKKUPET,THIRUVETRIYUR HIGH ROAD,13.11868501,80.28527566
4,42, OLD WASHERMENPET,KORUKKUPET,THIRUVETRIYUR HIGH ROAD,13.11867758,80.28527328
4,42, OLD WASHERMENPET,KORUKKUPET,THIRUVETRIYUR HIGH ROAD,13.11866388,80.28526506
4,42, OLD WASHERMENPET,KORUKKUPET,THIRUVETRIYUR HIGH ROAD,13.11865763,80.28526146
4,43, ROYAPURAM,ROYAPURAM,THIDEER NAGAR(INCLUDING PALLAVAN NAGAR),13.13064643,80.29600626
4,43, TONDIARPET,TONDIARPET,THANDAIYARPET STREET(ATHIDRAVIDAR STREET),13.12761327,80.29242683
4,43, ROYAPURAM,ROYAPURAM,SOORYA NARAYANA CHETTY STREET,13.12393173,80.29444076
4,43, TONDIARPET,TONDIARPET,THANDAVARAYA (GRAMINI) STREET,13.12251601,80.29249469
4,43, ROYAPURAM,ROYAPURAM,PUDHUMANAI KUPPAM FIRST STREET,13.12397849,80.29543475
4,45, VYASARPADI,SANJAY NAGAR,SANJAY NAGAR 6TH STREET,13.11398656,80.2563869
4,45, VYASARPADI,BHAKTHAVATCHALAM  COLONY,BHAKTHAVATCHALAM  COLONY 8TH STREET,13.11534598,80.25591933
4,45, VYASARPADI,BHAKTHAVATCHALAM  COLONY,BHAKTHAVATCHALAM  COLONY 3RD   STREET,13.11581556,80.25353355
4,45, VYASARPADI,VYASARPADI,CLINIC ROAD,13.11685824,80.25589297
4,46, VYASARPADI,VYASARPADI,NEW GOOD SHED ROAD,13.11815318,80.26770126
4,46, VYASARPADI,VYASARPADI,JOHNKENNEDY NAGAR,13.11768594,80.26534837
4,46, VYASARPADI,MALLIGAIPOO COLONY,MALLIGAIPOO COLONY MAIN STREET,13.11660766,80.2677056
4,46, VYASARPADI,VYASARPADI,MELPATTI PONNAPPAN STREET,13.11432383,80.26147938
4,46, VYASARPADI,VYASARPADI,MELPATTI PONNAPPAN STREET,13.11428299,80.26144169
4,46, VYASARPADI,VYASARPADI,VENKATESAPERUMAL KOIL STREET,13.11382133,80.26701808
4,46, VYASARPADI,VYASARPADI,NEW GOOD SHED ROAD,13.11779264,80.26782871
4,47, KORUKKUPET,KORUKKUPET,C.B. ROAD,13.11096361,80.27405101
4,47, KORUKKUPET,KORUKKUPET,OLD GLASS FACTORY ROAD,13.11138284,80.27309081
4,47, KORUKKUPET,KORUKKUPET,OLD GLASS FACTORY ROAD,13.1113829,80.27304726
4,47, KORUKKUPET,KORUKKUPET,C.B. ROAD,13.11255522,80.27452831
4,47, KORUKKUPET,KORUKKUPET,C.B. ROAD,13.11241607,80.27462153
4,47, KORUKKUPET,MEENAMBAL NAGAR,MEENAMBAL NAGAR CROSS ST,13.11602817,80.27567375
4,47, KORUKUPET,ANANTHA NAYAGI NAGAR,THIYAGAPPA CHETTY STREET,13.11828475,80.27991895
4,47, KORUKKUPET,KAMARAJ NAGAR,KAMARAJ NAGAR 2ND STREET,13.11904049,80.2732417
4,48, OLD WASHERMENPET,OLD WASHERMENPET,NAINIAPPAN NAIKAN STREET,13.1153492,80.2812226
4,48, OLD WASHERMENPET,CEMETRY ROAD,WEST CEMETRY STREET,13.11245026,80.28274003
5,55, GEORGE TOWN,SEVEN WELLS,SAMAYAVARADHAMMAN KOIL STREET,13.09928871,80.28097816
5,55, KONDITHOPPU,VALLALAR NAGAR,MINT STREET,13.105032,80.28006114
5,55, KONDITHOPPU,VALLALAR NAGAR,MINT STREET,13.10489308,80.28005542
5,49, OLD WASHERMENPET,SINGARA THOTTAM,SINGARA THOTTAM 4TH LANE,13.11381961,80.28955156
5,49, OLD WASHERMENPET,OLD WASHERMENPET,WEST KALMANDAPAM ROAD,13.11568177,80.28954064
5,49, OLD WASHERMENPET,OLD WASHERMENPET,GOLLAVAR AGRAHARAM ROAD,13.11941362,80.29041061
5,50, ROYAPURAM,ROYAPURAM,SOORYANARAYANA (CHETTY) STREET,13.11910004,80.29343666
5,50, ROYAPURAM,ROYAPURAM,THAMBU LANE,13.11664405,80.29507137
5,50, ROYAPURAM,ROYAPURAM,SOORYANARAYANA (CHETTY) STREET,13.11636346,80.29293516
5,50, ROYAPURAM,ROYAPURAM,SOORYANARAYANA (CHETTY) STREET,13.11793416,80.29318404
5,51, OLD WASHERMENPET,OLD WASHERMENPET,NARAYANAPPA  NAIKEN 8TH LANE,13.11194299,80.28692246
5,52, ROYAPURAM,MEENATCHIAMMAN PETTAI,MASUTHI STREET ALIAS MOSQUE STREET,13.10776124,80.29105788
5,52, ROYAPURAM,MEENATCHIAMMAN PETTAI,MASUTHI STREET ALIAS MOSQUE STREET,13.10776175,80.29104456
5,52, ROYAPURAM,ROYAPURAM,RAMANAIKEN STREET 8TH LANE,13.11174719,80.2899215
5,52, ROYAPURAM,ROYAPURAM,RAMANAIKEN STREET 8TH LANE,13.11176629,80.28980453
5,52, ROYAPURAM,ROYAPURAM,M.P.T. COLONY NORTH RAILWAY TERMINAL SALAI,13.10609629,80.29189171
5,52, ROYAPURAM,ROYAPURAM,MANNAR SAMY KOIL STREET,13.10329141,80.29068825
5,52, ROYAPURAM,ROYAPURAM,OLD SLAUGHTER HOUSE ROAD,13.10357968,80.29038824
5,52, ROYAPURAM,ROYAPURAM,OLD SLAUGHTER HOUSE ROAD,13.10359217,80.2903676
5,52, ROYAPURAM,ROYAPURAM,OLD SLAUGHTER HOUSE ROAD,13.10413432,80.28909984
5,52, ROYAPURAM,ROYAPURAM,OLD SLAUGHTER HOUSE ROAD,13.10485021,80.28721715
5,52, MUTHIAL PET,OLD SLAUGHTER HOUSE ROAD,EBRAHIM (SAHIB) STREET,13.10309448,80.28993064
5,52, ROYAPURAM,ROYAPURAM,MONGEAR CHOUTTRY ROAD,13.10562513,80.28655303
5,52, GEORGE TOWN,SEVEN WELLS,OLD JAIL ROAD,13.10520275,80.28394967
5,52, ROYAPURAM,MODEL NAGAR,MODEL LINE 9TH LANE,13.1086875,80.2836542
5,52, ROYAPURAM,MODEL NAGAR,MODEL LINE 9TH LANE,13.10821394,80.28478801
5,53, OLD WASHERMENPET,BOJARAJA NAGAR,BOJARAJA NAGAR MAIN STREET,13.11124673,80.27699389
5,53, OLD WASHERMENPET,SRINIVASAPURAM,SRINIVASAPURAM 2ND STREET,13.11295637,80.27610987
5,56, BROADWAY,ASIRVATHA PURAM,ASIRVADAPURAM 13TH LANE,13.09925641,80.28638158
5,57, SOWCARPET,KOTHAVAL CHAVADI,AMBERSON STREET,13.09131225,80.28525772
5,57, SOWCARPET,VOC NAGAR,ELEPHANTGATE BRIDGE ROAD(RAILWAY ANDRAILWAY POLICE,13.09073637,80.27473979
5,57, SOWCARPET,VOC NAGAR,TNSCB QUARTERS A TO H BLOCK,13.0933627,80.27470335
5,57, ELEPHANT GATE,KALYANAPURAM,KALYANAPURAM 10TH MAIN STREE,13.0939702,80.27423357
5,57, SOWCARPET,PARK TOWN,V.O.C SALAI,13.09409763,80.27509912
5,58, CHOOLAI,CHOOLAI,ROTTLER STREET,13.09036516,80.25910102
5,58, CHOOLAI,CHOOLAI,DEPOT STREET,13.08991811,80.2690657
5,58, CHOOLAI,CHOOLAI,NEHRU MARKET ROAD,13.09011823,80.27018434
5,58, CHOOLAI,NEW MOORE MARKET,NEW MOORE MARKET ROAD,13.09203685,80.27159271
5,58, CHOOLAI,CHOOLAI,RAJAMUTHAIAH SALAI (SYDENNAMS ROAD),13.0910009,80.269493
5,58, CHOOLAI,CHOOLAI,RAJAMUTHAIAH SALAI (SYDENNAMS ROAD),13.09096136,80.2695045
5,58, VEPERY,PERIAMET,STRINGERS STREET,13.08286135,80.26585807
5,58, VEPERY,PERIAMET,NAVEL HOSPITAL MAIN ROAD,13.08382947,80.26684282
5,58, CHOOLAI,CHOOLAI,SYDENHAMS ROAD,13.0875689,80.26989745
5,58, VEPERY,VEPERY,E.V.K.SAMPATH SALAI,13.09001706,80.26496895
5,58, CHOOLAI,CHOOLAI,THIRU NARAYANA GURU SALAI,13.08789505,80.26112055
5,58, CHOOLAI,CHOOLAI,SYDENHAMS ROAD,13.08227203,80.2708744
5,58, PERIAMET,PERIAMET,RIPPON BUILDING ANNEXURE ROAD (NORTH),13.08271271,80.27238906
5,58, EGMORE,EGMORE,WHANNELS ROAD,13.07883441,80.2632894
5,60, PARRYS,PARRYS,ARBUTNOT LANE,13.09535965,80.29185687
